Title,Publication Date,URL,Summary,Author,Section,Tags,Cleaned_Summary
Kamala Harris Isn’t Giving Interviews. Any Questions?,2024-08-09T01:12:01+0000,https://www.nytimes.com/2024/08/08/business/media/kamala-harris-press-interviews.html,Critics say the vice president has been too cautious with the press. Her supporters think it’s the right strategy at the right time.,By Michael M. Grynbaum,Business Day,"Presidential Election of 2024, United States Politics and Government, News and News Media, Vice Presidents and Vice Presidency (US), Media, Social Media, Biden, Joseph R Jr, Harris, Kamala D",critics say vice president cautious press supporters think right strategy right time
5 Takeaways From Kamala Harris’s First Week With Tim Walz,2024-08-11T09:04:15+0000,https://www.nytimes.com/2024/08/11/us/politics/harris-walz-takeaways.html,"Lofty condemnations of Donald Trump have given way to mockery. A tough interview with a top journalist? That can wait. Above all, Democrats are in a surprising place: on offense.",By Reid J. Epstein and Nicholas Nehamas,U.S.,"Harris, Kamala D, Walz, Tim, Presidential Election of 2024, Democratic Party, Vice Presidents and Vice Presidency (US), Polls and Public Opinion, United States Politics and Government, Trump, Donald J, Vance, J D",lofty condemnations donald trump given way mockery tough interview top journalist wait democrats surprising place offense
Why Tim Walz Will Be a Potent Weapon for Kamala Harris,2024-08-06T19:33:02+0000,https://www.nytimes.com/2024/08/06/opinion/tim-walz-kamala-harris.html,He is of a vanishing political breed: the heartland left populist.,By Ross Barkan,Opinion,"Presidential Election of 2024, Harris, Kamala D, Walz, Tim, Vice Presidents and Vice Presidency (US), Conservatism (US Politics), Minnesota, Governors (US), Democratic Party, United States Politics and Government",vanishing political breed heartland left populist
Kamala Harris Had a Great Health Care Idea in 2019. She Should Embrace It.,2024-08-14T09:02:25+0000,https://www.nytimes.com/2024/08/14/opinion/kamala-harris-health-care.html,A public option is both smart policy and smart politics.,By Jacob S. Hacker,Opinion,"Presidential Election of 2024, Health Insurance and Managed Care, Medicare, Patient Protection and Affordable Care Act (2010), Medicaid, Presidential Election of 2020, Democratic Party, Republican Party, Biden, Joseph R Jr, Harris, Kamala D, Obama, Barack, Sanders, Bernard, Trump, Donald J, United States",public option smart policy smart politics
Transcript: Ezra Klein Discusses Kamala Harris’s VP pick,2024-08-06T23:12:57+0000,https://www.nytimes.com/2024/08/06/opinion/transcript-ezra-klein-discusses-kamala-harriss-vp-pick.html,"The Aug. 6, 2024, episode of “The Ezra Klein Show.”",,Opinion,"Walz, Tim, Harris, Kamala D, Presidential Election of 2024, Vice Presidents and Vice Presidency (US), United States Politics and Government",episode ezra klein show
Kamala Harris’s $200 Million Vibe Shift,2024-08-01T09:04:27+0000,https://www.nytimes.com/2024/08/01/podcasts/kamala-harriss-200-million-vibe-shift.html,"First-time donors, reformed “double haters” and record-setting Zoom calls are fueling the change.","By Astead W. Herndon, Elisa Gutierrez and Anna Foley",Podcasts,"Politics and Government, Presidential Election of 2024, Biden, Joseph R Jr, Trump, Donald J, Harris, Kamala D, Campaign Finance",donors reformed double haters zoom calls fueling change
Tim Walz Is Kamala Harris’s Choice for Vice President,2024-08-06T13:10:57+0000,https://www.nytimes.com/2024/08/06/us/politics/kamala-harris-vp.html,"The Minnesota governor, a former high school teacher and National Guard member, brings to the ticket Midwestern appeal and a plain-spoken way of taking on Donald Trump.","By Reid J. Epstein, Katie Rogers, Erica L. Green and Shane Goldmacher",U.S.,"Harris, Kamala D, Vice Presidents and Vice Presidency (US), Walz, Tim, Shapiro, Josh (1973- ), Kelly, Mark E (1964- ), Presidential Election of 2024, Democratic Party, United States Politics and Government",minnesota governor former high school teacher national guard member brings ticket midwestern appeal way taking donald trump
"Black Men Rally for Kamala Harris, and Confront an Elephant in the Room",2024-08-11T09:02:37+0000,https://www.nytimes.com/2024/08/11/us/politics/harris-black-men.html,"“I’m standing behind a Black woman to be president of the United States, and it doesn’t make me any less of a Black man,” said the Illinois attorney general. “I’m asking all of you all to do the same.”",By Zolan Kanno-Youngs and Erica L. Green,U.S.,"Black People, Blacks, Presidential Election of 2024, Race and Ethnicity, Harris, Kamala D, Trump, Donald J, United States Politics and Government, Men and Boys, Discrimination, Women and Girls",standing behind black woman president united states make less black man said illinois attorney general asking
Jimmy Carter Said to Have Plans to Vote for Kamala Harris,2024-08-04T23:29:00+0000,https://www.nytimes.com/2024/08/04/us/politics/jimmy-carter-vote-for-kamala.html,"The former president, whose 100th birthday is Oct. 1, seems to have found some new motivation in the 2024 election.",By Tim Balk,U.S.,"Carter, Jimmy, Presidential Election of 2024, Democratic Party, Harris, Kamala D, Georgia, Hospice Care",former president whose birthday seems found new motivation election
It’s Unclear What Kamala Harris Thinks About Corporate Power. But the Signs Are Worrisome.,2024-08-07T09:04:21+0000,https://www.nytimes.com/2024/08/07/opinion/kamala-harris-google-antitrust.html,Take a look at the people around her.,By Matt Stoller,Opinion,"Harris, Kamala D, Hoffman, Reid Garrett, Khan, Lina, Biden, Joseph R Jr, Antitrust Laws and Competition Issues, Regulation and Deregulation of Industry, United States Politics and Government, Presidential Election of 2024, Corporations",take look people around
"Who Is Tim Walz, the Minnesota Governor Kamala Harris Picked to Be V.P.?",2024-08-06T13:24:52+0000,https://www.nytimes.com/2024/08/06/us/politics/who-tim-walz-harris-vp.html,Mr. Walz captured Democrats’ attention with his “weird” takedown of Republicans. Here’s a look at the new vice-presidential candidate.,By Neil Vigdor,U.S.,"Walz, Tim, Harris, Kamala D, Presidential Election of 2024, Vice Presidents and Vice Presidency (US), Content Type: Personal Profile",walz captured democrats attention weird takedown republicans look new candidate
Nate Silver on Kamala Harris’s Chances and the Mistakes of the ‘Indigo Blob’,2024-08-13T09:03:02+0000,https://www.nytimes.com/2024/08/13/opinion/ezra-klein-podcast-nate-silver.html,The election forecaster discusses 2024 and what politicians can learn from gamblers.,By Ezra Klein,Opinion,"Silver, Nate, Presidential Election of 2024, Polls and Public Opinion, United States Politics and Government, Gambling, Harris, Kamala D, Walz, Tim, Trump, Donald J, Vance, J D, Thiel, Peter A, Bankman-Fried, Sam, Books and Literature, On the Edge: The Art of Risking Everything (Book), audio-neutral-informative",election forecaster discusses politicians learn gamblers
Can Kamala Harris Rebuild the Democratic Coalition?,2024-08-02T09:04:05+0000,https://www.nytimes.com/2024/08/02/upshot/kamala-harris-democrats.html,Early polling suggests she has made some progress since President Biden’s exit.,By Nate Cohn,The Upshot,"Harris, Kamala D, Presidential Election of 2024, Polls and Public Opinion, Democratic Party, United States Politics and Government, Biden, Joseph R Jr, Trump, Donald J",early polling suggests made progress since president biden exit
"Doug Emhoff, Husband of Kamala Harris, Acknowledges Long-Ago Affair",2024-08-03T23:18:54+0000,https://www.nytimes.com/2024/08/03/us/politics/doug-emhoff-affair.html,"The relationship with a teacher at his children’s elementary school occurred when he was married to his first wife, years before he met Ms. Harris.",By Ken Bensinger and Jim Rutenberg,U.S.,"Vice Presidents and Vice Presidency (US), United States Politics and Government, Presidential Election of 2024, ADULTERY, Emhoff, Douglas C, Harris, Kamala D",relationship teacher children elementary school occurred married first wife years met harris
"In Kamala Harris’s Blackness, I See My Own",2024-08-04T10:00:28+0000,https://www.nytimes.com/2024/08/04/opinion/kamala-harris-biracial.html,"Multiracial people have long been a Rorschach test: We bear the anxiety, rage and confusion that others feel about the amorphous construction we call race.",By Danzy Senna,Opinion,"Black People, Blacks, National Assn of Black Journalists, Harris, Kamala D, Presidential Election of 2024, Race and Ethnicity",multiracial people long rorschach test bear anxiety rage confusion others feel amorphous construction call race
The Two Weeks That Changed Kamala Harris’s Vice Presidency,2024-08-01T23:17:02+0000,https://www.nytimes.com/2024/08/01/us/politics/kamala-harris-black-racial-identity.html,Two trips Harris took last year set the stage for the ascent that is happening now.,By Erica L. Green,U.S.,"Politics and Government, Elections, Trump, Donald J, Harris, Kamala D, Presidential Election of 2024",two trips harris took last year set stage ascent happening
Kamala Harris’s V.P. Scorecard,2024-07-30T09:04:39+0000,https://www.nytimes.com/2024/07/30/us/politics/kamala-harris-vp-pick.html,The vice president is narrowing her choices. How do the top contenders match up on political skills that matter most?,By Katie Glueck,U.S.,"Presidential Election of 2024, United States Politics and Government, Vice Presidents and Vice Presidency (US), Democratic Party, Beshear, Andrew G (1977- ), Buttigieg, Pete (1982- ), Harris, Kamala D, Kelly, Mark E (1964- ), Shapiro, Josh (1973- ), Walz, Tim",vice president narrowing choices top contenders match political skills matter
What Kamala Harris Learned From a Bruising 2020 Primary,2024-08-02T09:03:53+0000,https://www.nytimes.com/2024/08/02/us/kamala-harris-2020-primary.html,"The vice president has a rare opportunity to reintroduce herself to the American public as a presidential candidate, armed with lessons from the first time.",By Astead W. Herndon,U.S.,"Harris, Kamala D, Presidential Election of 2024, Presidential Election of 2020, United States Politics and Government, Democratic Party, Primaries and Caucuses, Speeches and Statements, Oakland (Calif)",vice president rare opportunity reintroduce american public presidential candidate armed lessons first time
Why Josh Shapiro Would Make Such a Difference for Kamala Harris,2024-08-03T11:00:29+0000,https://www.nytimes.com/2024/08/03/opinion/kamala-harris-josh-shapiro.html,Governor Josh Shapiro would send a signal that Vice President Harris is not captive to the left and that she puts experience ahead of ideology.,By Mark Penn,Opinion,"Presidential Election of 2024, Vice Presidents and Vice Presidency (US), Harris, Kamala D, Shapiro, Josh (1973- ), Pennsylvania, Israel-Gaza War (2023- ), Pro-Palestinian Campus Protests (2023- )",governor josh shapiro would send signal vice president harris captive left puts experience ahead ideology
"Kamala Harris Hires Top Obama Advisers, Building Out Campaign",2024-08-02T18:31:08+0000,https://www.nytimes.com/2024/08/02/us/politics/kamala-harris-david-plouffe-obama.html,"David Plouffe, who managed Barack Obama’s first presidential bid, is among the new senior staff announced on Friday, along with veterans of both Obama campaigns as well as Hillary Clinton’s 2016 run.",By Shane Goldmacher and Reid J. Epstein,U.S.,"Harris, Kamala D, Presidential Election of 2024, Plouffe, David, Biden, Joseph R Jr, Obama, Barack, Clinton, Hillary Rodham, United States Politics and Government, Appointments and Executive Changes",david plouffe managed barack obama first presidential bid among new senior staff announced friday along veterans obama campaigns well hillary clinton run
Why Silicon Valley Should Get Behind Kamala Harris,2024-08-03T11:00:08+0000,https://www.nytimes.com/2024/08/03/opinion/kamala-harris-innovation-technology.html,Her presidency could support the technological innovation our economy needs.,By Reid Hoffman,Opinion,"Harris, Kamala D, Presidential Election of 2024, United States Politics and Government, United States Economy, Computers and the Internet, Innovation, Regulation and Deregulation of Industry, Antitrust Laws and Competition Issues, International Trade and World Market, Trump, Donald J",presidency could support technological innovation economy needs
How Kamala Harris Trusted Her Gut and Picked Tim Walz,2024-08-07T03:16:34+0000,https://www.nytimes.com/2024/08/06/us/politics/harris-tim-walz-vp-pick.html,The ambitious Josh Shapiro asked about his role as vice president. The battle-tested Mark Kelly was already seen as a third option. And the happy-go-lucky Mr. Walz promised to do anything for the team.,"By Shane Goldmacher, Katie Rogers, Reid J. Epstein and Katie Glueck",U.S.,"Harris, Kamala D, Walz, Tim, Democratic Party, Vice Presidents and Vice Presidency (US), Presidential Election of 2024, United States Politics and Government, Shapiro, Josh (1973- ), Kelly, Mark E (1964- )",ambitious josh shapiro asked role vice president mark kelly already seen third option walz promised anything team
Senior U.S. Diplomat Will Lead Kamala Harris’s Running Mate’s Team,2024-08-02T17:24:09+0000,https://www.nytimes.com/2024/08/02/us/politics/elizabeth-allen-kamala-harris-campaign.html,"Elizabeth M. Allen, who heads the State Department’s public diplomacy office, served as a top aide to Ms. Harris in 2020 and in the Obama White House.",By Michael Crowley,U.S.,"United States Politics and Government, Presidential Election of 2024, Appointments and Executive Changes, Vice Presidents and Vice Presidency (US), Diplomatic Service, Embassies and Consulates, Content Type: Personal Profile, Allen, Elizabeth M, Harris, Kamala D, State Department, Democratic Party",elizabeth allen heads state department public diplomacy office served top aide harris obama white house
Autoworkers Union Endorses Kamala Harris for President,2024-07-31T18:45:55+0000,https://www.nytimes.com/2024/07/31/us/politics/uaw-kamala-harris.html,The United Automobile Workers had backed President Biden but did not immediately endorse the vice president. Ms. Harris will rally with U.A.W. members in Detroit next week.,By Nicholas Nehamas and Noam Scheiber,U.S.,"Harris, Kamala D, Organized Labor, United Automobile Workers, Automobiles, Fain, Shawn, Endorsements, Democratic Party, Biden, Joseph R Jr, Trump, Donald J, Presidential Election of 2024, United States Politics and Government",united automobile workers backed president biden immediately endorse vice president harris rally members detroit next week
"Harris Might Become the First Female President, but Keep the Focus Where It Belongs",2024-08-08T09:04:59+0000,https://www.nytimes.com/2024/08/08/opinion/kamala-harris-election-women.html,Stop all the talk of breaking barriers and glass ceilings.,By Pamela Paul,Opinion,"Presidential Election of 2024, Women and Girls, Presidential Election of 2016, United States Politics and Government, Gender, Polls and Public Opinion, Clinton, Hillary Rodham, Harris, Kamala D, Trump, Donald J, United States",stop talk breaking barriers glass ceilings
Kamala Harris’s Life in Canada Was Marked by a Yearning for Home,2024-08-03T11:08:28+0000,https://www.nytimes.com/2024/08/03/world/canada/kamala-harris-montreal.html,"Ms. Harris went north as a 12-year-old when her mother was recruited to conduct breast-cancer research, but California was always on her mind. The experience of a Canadian friend inspired her to become a prosecutor.",By Ian Austen,World,"Presidential Election of 2024, United States International Relations, United States Politics and Government, French Language, McGill University, Parti Quebecois (Canada), Harris, Kamala D, Vance, J D, Trump, Donald J, Canada, Montreal (Quebec), United States, International Relations",harris went north mother recruited conduct research california always mind experience canadian friend inspired become prosecutor
Kamala Harris and the Race for Congress,2024-07-29T10:39:18+0000,https://www.nytimes.com/2024/07/29/briefing/kamala-harris-congress-elections.html,We cover the state of consequential congressional races.,By German Lopez,Briefing,"internal-storyline-no, Presidential Election of 2024, Elections, House of Representatives, Politics and Government, Harris, Kamala D",cover state consequential congressional races
Tracking the Swing States for Harris and Trump,2024-08-14T09:03:27+0000,https://www.nytimes.com/interactive/2024/us/elections/presidential-election-swing-states.html,The presidential race will most likely come down to voters in 10 states that remain competitive.,"By Lily Boyce, Eli Murray and Alicia Parlapiano",U.S.,"Presidential Election of 2024, Elections, Harris, Kamala D, Trump, Donald J",presidential race likely come voters states remain competitive
Trump’s Big Lie About Harris’s Crowds,2024-08-12T23:05:35+0000,https://www.nytimes.com/2024/08/12/opinion/trump-crowds-kamala-harris.html,The sinister logic behind the ex-president’s latest conspiracy theory.,By Michelle Goldberg,Opinion,"Presidential Election of 2024, Democratic Party, Trump, Donald J, Harris, Kamala D, United States Politics and Government, Polls and Public Opinion, Social Media, Conspiracy Theories, Right-Wing Extremism and Alt-Right, Rumors and Misinformation",sinister logic behind latest conspiracy theory
Harris Takes the Lead in Key States,2024-08-13T10:00:16+0000,https://www.nytimes.com/2024/08/13/podcasts/the-daily/harris-polls-lead.html,"Surveys of Michigan, Pennsylvania and Wisconsin taken this month show the momentum of the vice president’s campaign.","By Michael Barbaro, Nate Cohn, Shannon M. Lin, Carlos Prieto, Clare Toeniskoetter, Lisa Chow, Devon Taylor, Dan Powell, Rowan Niemisto and Alyssa Moxley",Podcasts,"Presidential Election of 2024, Federal-State Relations (US), Polls and Public Opinion, Presidential Election of 2020, Harris, Kamala D, Trump, Donald J, Michigan, Pennsylvania, United States",surveys michigan pennsylvania wisconsin taken month show momentum vice president campaign
Trump Falsely Claims That the Crowds Seen at Harris Rallies Are Fake,2024-08-11T22:10:36+0000,https://www.nytimes.com/2024/08/11/us/politics/trump-harris-crowds-ai.html,"The former president, in a series of social media posts, said that Vice President Kamala Harris had used A.I. technology to create images of fake crowds at her events.",By Shane Goldmacher,U.S.,"Presidential Election of 2024, Trump, Donald J, Harris, Kamala D, Walz, Tim, Artificial Intelligence, Rumors and Misinformation",former president series social media posts said vice president kamala harris used technology create images fake crowds events
Tech Investors Are the Latest to Zoom for Harris,2024-08-08T01:17:30+0000,https://www.nytimes.com/2024/08/07/us/politics/harris-tech-vc-money-2024.html,"Compared with the calls for cat ladies, white dudes and others, the group of venture capitalists was small at around 600.",By Theodore Schleifer and Erin Griffith,U.S.,"Presidential Election of 2024, Harris, Kamala D, Walz, Tim, Venture Capital, Campaign Finance, Trump, Donald J, Elections, Silicon Valley (Calif)",compared calls cat ladies white dudes others group venture capitalists small around
What Tim Walz Brings to the Harris Ticket,2024-08-07T01:26:46+0000,https://www.nytimes.com/video/us/100000009613971/tim-walz-kamala-harris-ticket.html,"Vice President Kamala Harris is said to have liked Tim Walz’s policies, his Midwestern appeal and the likelihood that he would be a loyal running mate and governing partner. Katie Rogers, a White House correspondent for The New York Times, takes us inside Harris’s decision on a vice-presidential candidate.","By Katie Rogers, Claire Hogan and Christina Shaman",U.S.,"Presidential Election of 2024, Vice Presidents and Vice Presidency (US), United States Politics and Government, Harris, Kamala D, Walz, Tim",vice president kamala harris said liked tim walz policies midwestern appeal likelihood would loyal running mate governing partner katie rogers white house correspondent new york times takes us inside harris decision candidate
Harris Chooses Walz,2024-08-07T10:00:15+0000,https://www.nytimes.com/2024/08/07/podcasts/the-daily/tim-walz-vp-democrats.html,"A guide to the career, politics and sudden stardom of Gov. Tim Walz of Minnesota, now Vice President Kamala Harris’s running mate.","By Michael Barbaro, Ernesto Londoño, Alex Stern, Eric Krupke, Olivia Natt, Lisa Chow, Patricia Willens, Marion Lozano, Pat McCusker and Alyssa Moxley",Podcasts,"Politics and Government, Democratic Party, Harris, Kamala D, Walz, Tim, Elections",guide career politics sudden stardom gov tim walz minnesota vice president kamala harris running mate
5 Key Reasons That Kamala Harris Picked Tim Walz,2024-08-06T15:31:43+0000,https://www.nytimes.com/2024/08/06/us/politics/harris-walz-vp-pick.html,"The vice president is said to have liked Mr. Walz’s policies, his Midwestern appeal, and the likelihood that he would be a loyal running mate and governing partner.",By Katie Rogers,U.S.,"Harris, Kamala D, Walz, Tim, Presidential Election of 2024, Vice Presidents and Vice Presidency (US), Democratic Party, United States Politics and Government",vice president said liked walz policies midwestern appeal likelihood would loyal running mate governing partner
Harris and Walz Hold First Campaign Rally Together,2024-08-07T01:33:01+0000,https://www.nytimes.com/video/us/politics/100000009615583/harris-walz-campaign-rally.html,"Vice President Kamala Harris and her newly announced running mate, Gov. Tim Walz of Minnesota, went on the attack against the Trump-Vance Republican ticket during a raucous rally in Philadelphia.",By The New York Times,U.S.,"Walz, Tim, Harris, Kamala D, Democratic Party, Presidential Election of 2024, Vice Presidents and Vice Presidency (US), United States Politics and Government",vice president kamala harris newly announced running mate gov tim walz minnesota went attack republican ticket raucous rally philadelphia
Kamala Harris and the Audacity of Desperation,2024-07-27T11:00:21+0000,https://www.nytimes.com/2024/07/27/opinion/kamala-harris-democrats.html,"With the surge of support for her candidacy, you can sense an effort to overcome divisions on the left and to recover the unity of 2020.",By Ross Douthat,Opinion,"Presidential Election of 2024, United States Politics and Government, Democratic Party, Harris, Kamala D, Trump, Donald J",surge support candidacy sense effort overcome divisions left recover unity
Harris Appeals to Tech Leaders in a Return to San Francisco,2024-08-12T01:14:13+0000,https://www.nytimes.com/2024/08/11/us/kamala-harris-tech-fundraiser.html,A Sunday fund-raiser offered Vice President Kamala Harris a chance to turn the page on a sometimes frosty relationship between President Biden and Silicon Valley.,By Theodore Schleifer,U.S.,"Harris, Kamala D, Democratic Party, United States Politics and Government, Presidential Election of 2024, Campaign Finance, Computers and the Internet",sunday offered vice president kamala harris chance turn page sometimes frosty relationship president biden silicon valley
Trump Calls Harris a ‘Communist.’ That Shows How Worried He Is.,2024-08-12T19:00:06+0000,https://www.nytimes.com/2024/08/12/opinion/harris-trump-communist.html,MAGA desperately turns to old-fashioned red-baiting.,By Paul Krugman,Opinion,"Harris, Kamala D, Biden, Joseph R Jr, Trump, Donald J, Presidential Election of 2024, Republican Party, Health Insurance and Managed Care, Polls and Public Opinion, Communism (Theory and Philosophy)",maga desperately turns
Biden Made Trump Bigger. Harris Makes Him Smaller.,2024-08-11T10:00:20+0000,https://www.nytimes.com/2024/08/11/opinion/kamala-harris-trump-attention.html,Her campaign wants to be talked about and knows how to get people talking.,By Ezra Klein,Opinion,"Presidential Election of 2024, United States Politics and Government, Social Media, News and News Media, Biden, Joseph R Jr, Trump, Donald J, Vance, J D, Walz, Tim, Harris, Kamala D",campaign wants talked knows get people talking
Kennedy Sought a Meeting With Harris to Discuss a Cabinet Post,2024-08-15T01:51:51+0000,https://www.nytimes.com/2024/08/14/us/politics/rfk-jr-kamala-harris-cabinet-meeting.html,"Robert F. Kennedy Jr. was unsuccessful with his request to discuss endorsing the Democratic nominee in exchange for a top administration job, according to two people briefed on the outreach.",By Rebecca Davis O'Brien and Reid J. Epstein,U.S.,"Kennedy, Robert F Jr, Harris, Kamala D, Trump, Donald J, Presidential Election of 2024, Third-Party Politics (US), United States Politics and Government, Endorsements",robert kennedy unsuccessful request discuss endorsing democratic nominee exchange top administration job according two people briefed outreach
Harris and Walz Plan Rally in Milwaukee During Democratic Convention,2024-08-13T20:49:22+0000,https://www.nytimes.com/2024/08/13/us/politics/harris-walz-milwaukee-rally-dnc.html,"The event is planned for Tuesday, when Barack Obama speaks in Chicago, and the campaign hopes to hold it at the arena where Republicans held their convention, people briefed on the planning said.",By Reid J. Epstein,U.S.,"Harris, Kamala D, Walz, Tim, Milwaukee (Wis), Democratic National Convention, Trump, Donald J, Obama, Barack, Presidential Election of 2024, United States Politics and Government, Democratic Party",event planned tuesday barack obama speaks chicago campaign hopes hold arena republicans held convention people briefed planning said
Do Trump Fans Believe the Harris Hype? Not a Chance.,2024-08-11T09:04:41+0000,https://www.nytimes.com/2024/08/11/us/politics/trump-rally-montana.html,The former president’s loyal supporters say the buzz around Vice President Kamala Harris is merely a “honeymoon phase.”,By Shawn McCreesh,U.S.,"Trump, Donald J, Harris, Kamala D, Biden, Joseph R Jr, Presidential Election of 2024, Bozeman (Mont)",former president loyal supporters say buzz around vice president kamala harris merely honeymoon phase
More Than 100 Silicon Valley Investors Pledge to Support Kamala Harris,2024-07-31T12:00:07+0000,https://www.nytimes.com/2024/07/31/technology/silicon-valley-investors-support-kamala-harris.html,"The group, including Democratic donors such as Reid Hoffman and Vinod Khosla, has been organized under an effort called VCsForKamala.","By Theodore Schleifer, Mike Isaac and Erin Griffith",Technology,"Harris, Kamala D, Endorsements, Presidential Election of 2024, United States Politics and Government, Computers and the Internet, Venture Capital, Hoffman, Reid Garrett, Khosla, Vinod",group including democratic donors reid hoffman vinod khosla organized effort called vcsforkamala
Harris Hopes a New Playbook Will Neutralize G.O.P. Attacks on Immigration,2024-08-10T23:53:27+0000,https://www.nytimes.com/2024/08/10/us/politics/harris-trump-immigration.html,The Democratic presidential nominee has been pummeled by Donald J. Trump and other Republicans on her immigration record. She is now trying an approach that Democrats say has worked before.,"By Nicholas Nehamas, Jazmine Ulloa and Shane Goldmacher",U.S.,"Harris, Kamala D, Democratic Party, Immigration and Emigration, Illegal Immigration, Presidential Election of 2024, United States Politics and Government, Republican Party, Trump, Donald J, Arizona",democratic presidential nominee pummeled donald trump republicans immigration record trying approach democrats say worked
